Qty;Value;Device;Package;Parts;Description;MF;MPN;OC_FARNELL;OC_NEWARK;SMD
1;;JP1Q;JP1;JP9;JUMPER;;;;;
3;;JUMPER3;JUMPER3;JP3, JP4, JP8;JUMPER - 3 Pins;;;;;
3;;PINHD-1X3;1X03;JP1, JP6, JP7;PIN HEADER;;;;;
1;;PINHD-1X9;1X09;JP2;PIN HEADER;;;;;
1;;PINHD-2X2;2X02;JP5;PIN HEADER;;;;;
5;100n;C-EUC0805;C0805;C5, C13, C14, C15, C16;CAPACITOR, European symbol;;;;;
2;100nF;CPOL-EUE5-6;E5-6;C1, C3;POLARIZED CAPACITOR, European symbol;;;;;
1;100uH;R-EU_0207/7;0207/7;L2;RESISTOR, European symbol;;;;;
1;10k;R-EU_0207/5V;0207/5V;RB3;RESISTOR, European symbol;;;;;
7;10k;R-EU_R0805;R0805;R3, R4, R5, R8, R9, R10, RB1;RESISTOR, European symbol;;;;;
4;10n;C-EUC0805;C0805;C7, C8, C9, C10;CAPACITOR, European symbol;;;;;
1;10uF;CPOL-EUE5-6;E5-6;C17;POLARIZED CAPACITOR, European symbol;;;;;
1;1N4004;1N4004;DO41-10;D6;DIODE;;;;;
1;1N5819-T;1N5819-T;DO41-7.6;D5;1.0A SCHOTTKY BARRIER RECTIFIER;;;;;
1;1R/1W;R-EU_0207/12;0207/12;RS;RESISTOR, European symbol;;;;;
1;1k4;R-EU_R0805;R0805;RB2;RESISTOR, European symbol;;;;;
1;1k5;R-EU_R0805;R0805;RA1;RESISTOR, European symbol;;;;;
1;220uF;CPOL-EUE5-6;E5-6;C12;POLARIZED CAPACITOR, European symbol;;;;;
1;22uH/3A;R-EU_0207/7;0207/7;L3;RESISTOR, European symbol;;;;;
1;30k;R-EU_R0805;R0805;RA;RESISTOR, European symbol;;;;;
1;33uF;CPOL-EUE5-6;E5-6;C11;POLARIZED CAPACITOR, European symbol;;;;;
1;33uH/3A;R-EU_0207/7;0207/7;L1;RESISTOR, European symbol;;;;;
1;3k74;R-EU_0207/5V;0207/5V;RB4;RESISTOR, European symbol;;;;;
1;43k;R-EU_R0805;R0805;RB;RESISTOR, European symbol;;;;;
1;470R;R-EU_0204/7;0204/7;R6;RESISTOR, European symbol;;;;;
3;470R;R-EU_R0805;R0805;R1, R2, R7;RESISTOR, European symbol;;;;;
1;470k;R-EU_R0805;R0805;RC;RESISTOR, European symbol;;;;;
1;47uF;CPOL-EUE5-6;E5-6;C6;POLARIZED CAPACITOR, European symbol;;;;;
2;4u7F;CPOL-EUE5-6;E5-6;C2, C4;POLARIZED CAPACITOR, European symbol;;;;;
1;4v3;ZENER-DIODEDO34-7;DO34Z7;D7;Z-Diode;;;;;
1;66k5;R-EU_R0805;R0805;RA2;RESISTOR, European symbol;;;;;
3;BAT42;BAT42;DO35-10;D1, D2, D4;DIODE;;;;;
1;BAV21;BAV21;DO35-10;D3;DIODE;;;;;
1;BC337;BC337;TO92;Q2;NPN Transistor;;;;;
1;BD140;BD140;TO126AV;Q1;PNP TRANSISTOR;;;;;
1;CON_HEADER_PRG_PIC_ICSP0.1INCH_A;CON_HEADER_PRG_PIC_ICSP0.1INCH_A;HEADER_PRG_1X05;J1;5-pin PIC In Circuit Serial Programming header;;;;;
1;PIC16F628P;PIC16F628P;DIL18;IC1;FLASH-Based 8-Bit CMOS Microcontroller;MICROCHIP;PIC16F628-20/P;9760423;23C4982;
2;TPS5420;TPS5420;SOIC8_150MIL;U1, U2;;;;;;
1;UC2906;UC2906;SOIC_16;U3;;;;;;
4;WIREPAD3,17/1,2;WIREPAD3,17/1,2;3,17/1,2;BAT+, BAT-, GND, VIN;Wire PAD connect wire on PCB;;;;;
